source,target,weight,link_type
Bank of China Ltd,Industrial and Commercial Bank of China Ltd,27,ORGANIZATION
DBS Group Holdings Ltd,Oversea-Chinese Banking Corporation Ltd,20,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,DBS Group Holdings Ltd,20,ORGANIZATION
Bank of China Ltd,China Construction Bank Corp,18,ORGANIZATION
Bank of China Ltd,Bank of Communications Co Ltd,17,ORGANIZATION
United Overseas Bank Ltd,Oversea-Chinese Banking Corporation Ltd,14,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,United Overseas Bank Ltd,14,ORGANIZATION
DBS Group Holdings Ltd,United Overseas Bank Ltd,14,ORGANIZATION
United Overseas Bank Ltd,DBS Group Holdings Ltd,14,ORGANIZATION
Bank of China Ltd,Agricultural Bank of China Ltd,10,ORGANIZATION
Bank of China Ltd,HSBC Holdings PLC,6,ORGANIZATION
DBS Group Holdings Ltd,HSBC Holdings PLC,5,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,HSBC Holdings PLC,5,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Societe Generale SA,5,ORGANIZATION
DBS Group Holdings Ltd,Societe Generale SA,5,ORGANIZATION
DBS Group Holdings Ltd,Carnival Corp,4,ORGANIZATION
DBS Group Holdings Ltd,Temasek Holdings (Private) Ltd,4,ORGANIZATION
Bank of China Ltd,Shanghai Pudong Development Bank Co Ltd,4,ORGANIZATION
DBS Group Holdings Ltd,Singapore Airlines Ltd,4,ORGANIZATION
Cimb Group Holdings Bhd,Malayan Banking Bhd,3,ORGANIZATION
Malayan Banking Bhd,Cimb Group Holdings Bhd,3,ORGANIZATION
DBS Group Holdings Ltd,United Continental Holdings Inc,3,ORGANIZATION
DBS Group Holdings Ltd,BlackRock Inc,3,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Hin Leong Trading (Pte) Ltd,3,ORGANIZATION
Bank of China Ltd,Standard Chartered PLC,3,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Ocean Tankers Pte Ltd,3,ORGANIZATION
DBS Group Holdings Ltd,Alibaba Group Holding Ltd,3,ORGANIZATION
United Overseas Bank Ltd,Malayan Banking Bhd,3,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Standard Chartered PLC,3,ORGANIZATION
DBS Group Holdings Ltd,Singapore Telecommunications Ltd,3,ORGANIZATION
United Overseas Bank Ltd,Australia and New Zealand Banking Group Ltd,3,ORGANIZATION
Malayan Banking Bhd,United Overseas Bank Ltd,3,ORGANIZATION
Bank of China Ltd,Wuling Motors Holdings Ltd,3,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,OCBC Bank (Malaysia) Bhd,3,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,KS Energy Ltd,3,ORGANIZATION
Bank of China Ltd,Societe Generale SA,3,ORGANIZATION
Bank of China Ltd,Tata Motors Ltd,3,ORGANIZATION
Bank of China Ltd,CME Group Inc,3,ORGANIZATION
Bank of China Ltd,BOC Hong Kong Holdings Ltd,2,ORGANIZATION
DBS Group Holdings Ltd,ABN Amro Bank NV,2,ORGANIZATION
DBS Group Holdings Ltd,Stock Exchange of Thailand,2,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Stock Exchange of Thailand,2,ORGANIZATION
DBS Group Holdings Ltd,Bank of China Ltd,2,ORGANIZATION
Bank of China Ltd,Oversea-Chinese Banking Corporation Ltd,2,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Bank of China Ltd,2,ORGANIZATION
Bank of China Ltd,DBS Group Holdings Ltd,2,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Singapore Telecommunications Ltd,2,ORGANIZATION
DBS Group Holdings Ltd,Standard Chartered PLC,2,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,ABN Amro Bank NV,2,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,CAA Resources Ltd,2,ORGANIZATION
Bank of China Ltd,Total SA,2,ORGANIZATION
Malayan Banking Bhd,Agritrade Resources Ltd,2,ORGANIZATION
Bank of China Ltd,Royal Dutch Shell PLC,2,ORGANIZATION
DBS Group Holdings Ltd,Air New Zealand Ltd,2,ORGANIZATION
Malayan Banking Bhd,ING Groep NV,2,ORGANIZATION
Bank of China Ltd,ING Groep NV,2,ORGANIZATION
DBS Group Holdings Ltd,HDFC Bank Ltd,2,ORGANIZATION
United Overseas Bank Ltd,Mitsubishi UFJ Financial Group Inc,2,ORGANIZATION
Malayan Banking Bhd,Mitsubishi UFJ Financial Group Inc,2,ORGANIZATION
DBS Group Holdings Ltd,Axis Bank Ltd,2,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Alibaba Group Holding Ltd,2,ORGANIZATION
DBS Group Holdings Ltd,Australia and New Zealand Banking Group Ltd,2,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Australia and New Zealand Banking Group Ltd,2,ORGANIZATION
DBS Group Holdings Ltd,Virgin Australia Holdings Ltd,2,ORGANIZATION
Bank of China Ltd,Natixis SA,2,ORGANIZATION
Cimb Group Holdings Bhd,BP PLC,2,ORGANIZATION
DBS Group Holdings Ltd,Mastercard Inc,2,ORGANIZATION
Bank of China Ltd,Credit Suisse Group AG,2,ORGANIZATION
Bank of China Ltd,BOC Aviation Ltd,2,ORGANIZATION
Bank of China Ltd,Credit Agricole Bank PAT,2,ORGANIZATION
DBS Group Holdings Ltd,Sea Ltd,2,ORGANIZATION
Cimb Group Holdings Bhd,Hontop Energy (Singapore) Pte Ltd,2,ORGANIZATION
DBS Group Holdings Ltd,Razer Inc,2,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Razer Inc,2,ORGANIZATION
DBS Group Holdings Ltd,Qantas Airways Ltd,2,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,DMCI Holdings Inc,1,ORGANIZATION
Bank of China Ltd,Bank of Gansu Co Ltd,1,ORGANIZATION
Malayan Banking Bhd,Oversea-Chinese Banking Corporation Ltd,1,ORGANIZATION
United Overseas Bank Ltd,Sumitomo Mitsui Financial Group Inc,1,ORGANIZATION
Bank of China Ltd,Amundi SA,1,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Internet Thailand PCL,1,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Capitaland Mall Trust,1,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Max Metal Corporation PCL,1,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Royal Orchid Hotel Thailand PCL,1,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Bloomberry Resorts Corp,1,ORGANIZATION
DBS Group Holdings Ltd,Schroders PLC,1,ORGANIZATION
Bank of China Ltd,Banco de Sabadell SA,1,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Sumitomo Mitsui Financial Group Inc,1,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Malayan Banking Bhd,1,ORGANIZATION
Malayan Banking Bhd,Axiata Group Bhd,1,ORGANIZATION
Cimb Group Holdings Bhd,Axiata Group Bhd,1,ORGANIZATION
United Overseas Bank Ltd,ING Groep NV,1,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Korea Exchange,1,ORGANIZATION
Bank of China Ltd,AP Moeller - Maersk A/S,1,ORGANIZATION
United Overseas Bank Ltd,National Australia Bank Ltd,1,ORGANIZATION
Bank of China Ltd,Aston Martin Lagonda Global Holdings PLC,1,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Sea Ltd,1,ORGANIZATION
Malayan Banking Bhd,Maybank Islamic Bhd,1,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,National Australia Bank Ltd,1,ORGANIZATION
United Overseas Bank Ltd,Natixis SA,1,ORGANIZATION
Cimb Group Holdings Bhd,Zhejiang Ant Small & Micro Financial Service Goup Co Ltd,1,ORGANIZATION
DBS Group Holdings Ltd,JPMorgan Chase & Co,1,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Commonwealth Bank of Australia,1,ORGANIZATION
DBS Group Holdings Ltd,Commonwealth Bank of Australia,1,ORGANIZATION
DBS Group Holdings Ltd,National Australia Bank Ltd,1,ORGANIZATION
United Overseas Bank Ltd,Commonwealth Bank of Australia,1,ORGANIZATION
United Overseas Bank Ltd,Westpac Banking Corp,1,ORGANIZATION
DBS Group Holdings Ltd,Westpac Banking Corp,1,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,Mapletree Commercial Trust,1,ORGANIZATION
Oversea-Chinese Banking Corporation Ltd,San Miguel Corp,1,ORGANIZATION
