source,target,weight,link_type
BOC,ICBC,27,ORGANIZATION
DBS,OCBC,20,ORGANIZATION
OCBC,DBS,20,ORGANIZATION
BOC,CCB,18,ORGANIZATION
BOC,Bank of Communications,17,ORGANIZATION
UOB,OCBC,14,ORGANIZATION
OCBC,UOB,14,ORGANIZATION
DBS,UOB,14,ORGANIZATION
UOB,DBS,14,ORGANIZATION
BOC,Agricultural Bank of China,10,ORGANIZATION
BOC,HSBC,6,ORGANIZATION
DBS,HSBC,5,ORGANIZATION
OCBC,HSBC,5,ORGANIZATION
OCBC,Societe Generale,5,ORGANIZATION
DBS,Societe Generale,5,ORGANIZATION
DBS,Carnival Corp,4,ORGANIZATION
DBS,Temasek,4,ORGANIZATION
BOC,SPD Bank,4,ORGANIZATION
DBS,Singapore Airlines,4,ORGANIZATION
CIMB,Maybank,3,ORGANIZATION
Maybank,CIMB,3,ORGANIZATION
DBS,UAH,3,ORGANIZATION
DBS,BlackRock,3,ORGANIZATION
OCBC,Hin Leong,3,ORGANIZATION
BOC,Standard Chartered,3,ORGANIZATION
OCBC,Ocean Tankers,3,ORGANIZATION
DBS,Alibaba Group,3,ORGANIZATION
UOB,Maybank,3,ORGANIZATION
OCBC,Standard Chartered,3,ORGANIZATION
DBS,Singtel,3,ORGANIZATION
UOB,ANZ,3,ORGANIZATION
Maybank,UOB,3,ORGANIZATION
BOC,Wuling Motors,3,ORGANIZATION
OCBC,OCBC Malaysia,3,ORGANIZATION
OCBC,KS Energy Ltd,3,ORGANIZATION
BOC,Societe Generale,3,ORGANIZATION
BOC,Tata Motors,3,ORGANIZATION
BOC,CME Group,3,ORGANIZATION
BOC,BOCHK,2,ORGANIZATION
DBS,ABN AMRO,2,ORGANIZATION
DBS,SET,2,ORGANIZATION
OCBC,SET,2,ORGANIZATION
DBS,BOC,2,ORGANIZATION
BOC,OCBC,2,ORGANIZATION
OCBC,BOC,2,ORGANIZATION
BOC,DBS,2,ORGANIZATION
OCBC,Singtel,2,ORGANIZATION
DBS,Standard Chartered,2,ORGANIZATION
OCBC,ABN AMRO,2,ORGANIZATION
OCBC,CAA Resources,2,ORGANIZATION
BOC,Total,2,ORGANIZATION
Maybank,Agritrade Resources,2,ORGANIZATION
BOC,Shell,2,ORGANIZATION
DBS,NZ,2,ORGANIZATION
Maybank,ING Group,2,ORGANIZATION
BOC,ING Group,2,ORGANIZATION
DBS,HDFC Bank,2,ORGANIZATION
UOB,MUFG,2,ORGANIZATION
Maybank,MUFG,2,ORGANIZATION
DBS,Axis Bank,2,ORGANIZATION
OCBC,Alibaba Group,2,ORGANIZATION
DBS,ANZ,2,ORGANIZATION
OCBC,ANZ,2,ORGANIZATION
DBS,Virgin Australia Holdings,2,ORGANIZATION
BOC,Natixis,2,ORGANIZATION
CIMB,BP,2,ORGANIZATION
DBS,Mastercard,2,ORGANIZATION
BOC,Credit Suisse,2,ORGANIZATION
BOC,BOC Aviation,2,ORGANIZATION
BOC,Credit Agricole,2,ORGANIZATION
DBS,Sea,2,ORGANIZATION
CIMB,Hontop Energy,2,ORGANIZATION
DBS,Razer,2,ORGANIZATION
OCBC,Razer,2,ORGANIZATION
DBS,Qantas,2,ORGANIZATION
OCBC,DMCI Homes,1,ORGANIZATION
BOC,Bank of Gansu,1,ORGANIZATION
Maybank,OCBC,1,ORGANIZATION
UOB,SMFG,1,ORGANIZATION
BOC,Amundi,1,ORGANIZATION
OCBC,INET:TB,1,ORGANIZATION
OCBC,CMT,1,ORGANIZATION
OCBC,Max Metal Corporation,1,ORGANIZATION
OCBC,ROH:TB,1,ORGANIZATION
OCBC,Bloomberry,1,ORGANIZATION
DBS,Schroders,1,ORGANIZATION
BOC,Banco Sabadell,1,ORGANIZATION
OCBC,SMFG,1,ORGANIZATION
OCBC,Maybank,1,ORGANIZATION
Maybank,Axiata,1,ORGANIZATION
CIMB,Axiata,1,ORGANIZATION
UOB,ING Group,1,ORGANIZATION
OCBC,Korea Exchange,1,ORGANIZATION
BOC,Maersk,1,ORGANIZATION
UOB,NAB,1,ORGANIZATION
BOC,Aston Martin,1,ORGANIZATION
OCBC,Sea,1,ORGANIZATION
Maybank,Maybank Islamic Berhad,1,ORGANIZATION
OCBC,NAB,1,ORGANIZATION
UOB,Natixis,1,ORGANIZATION
CIMB,ANT Group,1,ORGANIZATION
DBS,JPMorgan Chase,1,ORGANIZATION
OCBC,Commonwealth Bank,1,ORGANIZATION
DBS,Commonwealth Bank,1,ORGANIZATION
DBS,NAB,1,ORGANIZATION
UOB,Commonwealth Bank,1,ORGANIZATION
UOB,Westpac,1,ORGANIZATION
DBS,Westpac,1,ORGANIZATION
OCBC,Mapletree Commercial Trust,1,ORGANIZATION
OCBC,SMC,1,ORGANIZATION
