name,type,importance,sentiment_emb
BOC,ORGANIZATION,1.0,0
CIMB,ORGANIZATION,0.07377049180327869,-100
DBS,ORGANIZATION,0.8114754098360656,50
Maybank,ORGANIZATION,0.12295081967213115,100
OCBC,ORGANIZATION,0.7295081967213115,-100
UOB,ORGANIZATION,0.3442622950819672,0
ABN AMRO,ORGANIZATION,0.032786885245901634,-100
Maersk,ORGANIZATION,0.008196721311475409,50
Agricultural Bank of China,ORGANIZATION,0.08196721311475409,100
Agritrade Resources,ORGANIZATION,0.016393442622950817,-100
NZ,ORGANIZATION,0.016393442622950817,50
Alibaba Group,ORGANIZATION,0.04098360655737705,100
Amundi,ORGANIZATION,0.008196721311475409,0
Aston Martin,ORGANIZATION,0.008196721311475409,50
ANZ,ORGANIZATION,0.05737704918032788,100
Axiata,ORGANIZATION,0.016393442622950817,50
Axis Bank,ORGANIZATION,0.016393442622950817,50
BOC Aviation,ORGANIZATION,0.016393442622950817,0
BOCHK,ORGANIZATION,0.016393442622950817,-100
BP,ORGANIZATION,0.016393442622950817,-50
Banco Sabadell,ORGANIZATION,0.008196721311475409,-100
Bank of Communications,ORGANIZATION,0.13934426229508196,-100
Bank of Gansu,ORGANIZATION,0.008196721311475409,-100
BlackRock,ORGANIZATION,0.024590163934426233,50
Bloomberry,ORGANIZATION,0.008196721311475409,-50
CAA Resources,ORGANIZATION,0.016393442622950817,-50
CME Group,ORGANIZATION,0.024590163934426233,-100
CMT,ORGANIZATION,0.008196721311475409,-100
Carnival Corp,ORGANIZATION,0.032786885245901634,50
CCB,ORGANIZATION,0.14754098360655735,50
Commonwealth Bank,ORGANIZATION,0.024590163934426233,-100
Credit Agricole,ORGANIZATION,0.016393442622950817,0
Credit Suisse,ORGANIZATION,0.016393442622950817,50
DMCI Homes,ORGANIZATION,0.008196721311475409,50
HDFC Bank,ORGANIZATION,0.016393442622950817,-50
HSBC,ORGANIZATION,0.13114754098360654,-100
Hin Leong,ORGANIZATION,0.024590163934426233,100
Hontop Energy,ORGANIZATION,0.016393442622950817,-50
ING Group,ORGANIZATION,0.04098360655737705,100
ICBC,ORGANIZATION,0.22131147540983606,-50
INET:TB,ORGANIZATION,0.008196721311475409,-50
JPMorgan Chase,ORGANIZATION,0.008196721311475409,0
KS Energy Ltd,ORGANIZATION,0.024590163934426233,-50
Korea Exchange,ORGANIZATION,0.008196721311475409,50
Mapletree Commercial Trust,ORGANIZATION,0.008196721311475409,50
Mastercard,ORGANIZATION,0.016393442622950817,-50
Max Metal Corporation,ORGANIZATION,0.008196721311475409,0
Maybank Islamic Berhad,ORGANIZATION,0.008196721311475409,0
MUFG,ORGANIZATION,0.032786885245901634,-100
NAB,ORGANIZATION,0.024590163934426233,50
Natixis,ORGANIZATION,0.024590163934426233,0
OCBC Malaysia,ORGANIZATION,0.024590163934426233,0
Ocean Tankers,ORGANIZATION,0.024590163934426233,-100
Qantas,ORGANIZATION,0.016393442622950817,-100
Razer,ORGANIZATION,0.032786885245901634,-100
Shell,ORGANIZATION,0.016393442622950817,0
ROH:TB,ORGANIZATION,0.008196721311475409,-50
SMC,ORGANIZATION,0.008196721311475409,-50
Schroders,ORGANIZATION,0.008196721311475409,-50
Sea,ORGANIZATION,0.024590163934426233,100
SPD Bank,ORGANIZATION,0.032786885245901634,-50
Singapore Airlines,ORGANIZATION,0.032786885245901634,-50
Singtel,ORGANIZATION,0.04098360655737705,50
Societe Generale,ORGANIZATION,0.10655737704918032,0
Standard Chartered,ORGANIZATION,0.06557377049180327,100
SET,ORGANIZATION,0.032786885245901634,0
SMFG,ORGANIZATION,0.016393442622950817,-100
Tata Motors,ORGANIZATION,0.024590163934426233,50
Temasek,ORGANIZATION,0.032786885245901634,100
Total,ORGANIZATION,0.016393442622950817,-50
UAH,ORGANIZATION,0.024590163934426233,100
Virgin Australia Holdings,ORGANIZATION,0.016393442622950817,100
Westpac,ORGANIZATION,0.016393442622950817,-50
Wuling Motors,ORGANIZATION,0.024590163934426233,-50
ANT Group,ORGANIZATION,0.008196721311475409,100
